"facet","y","mname","x","dv","dvlag","ivspec","iv","term","mu","mu.min","mu.max","se","pval","t","type","pval.class","seq","bic","aic","r2","adjr2","sampname","N","N.states","range","pref","prefbic","dvsd","musd","musd.min","musd.max","approach","mod","spec","method","pval.shp","pval.fill","ydisp","order"
"ADL","Five-Year","imprt_t_jur.5year","Inc.","imprt_t_jur",NA,NA,"beopct_all",NA,-13.223691026509,-118.45075788519,33.8971615659681,NA,NA,NA,NA,"not sig",2,NA,NA,NA,NA,NA,172,43,NA,FALSE,NA,NA,-0.0958971601156553,-0.858995515848463,0.245819531297384,"reg","5year",NA,NA,"not sig","- /","Five-Year",18
"ADL","Five-Year","officers_pcap.5year","Off.","officers_pcap",NA,NA,"beopct_all",NA,5.82208107147146,1.54209566091108,9.73790041367396,NA,NA,NA,NA,"at alpha=0.01",10,NA,NA,NA,NA,NA,196,49,NA,FALSE,NA,NA,0.278073994780065,0.0736535090285459,0.465101195871254,"reg","5year",NA,NA,"at alpha=0.01","+ /at alpha=0.01","Five-Year",18
"ADL","Pooled","officers_pcap.pooled","Off.","officers_pcap",NA,NA,"beopct_all",NA,-6.60307777731082e-05,-87.141651730035,33.2988799571302,NA,NA,NA,NA,"not sig",13,NA,NA,NA,NA,NA,1764,49,NA,FALSE,NA,NA,-1.88195799080151e-06,-2.4836437391136,0.949058837916391,"reg","pooled",NA,NA,"not sig","- /","Pooled",13
"ADL","Pooled","imprt_t_jur.pooled","Inc.","imprt_t_jur",NA,NA,"beopct_all",NA,23.1348464542556,-900.011515211155,1045.62828860728,NA,NA,NA,NA,"not sig",5,NA,NA,NA,NA,NA,1504,43,NA,FALSE,NA,NA,0.105523777161219,-4.10517591986017,4.76937016801183,"reg","pooled",NA,NA,"not sig","+ /","Pooled",13
"ADL","Random-Effects","officers_pcap.re","Off.","officers_pcap",NA,NA,"beopct_all",NA,1.13823767981555,-50.9375257080412,28.1916683426134,NA,NA,NA,NA,"not sig",12,NA,NA,NA,NA,NA,1764,49,NA,FALSE,NA,NA,0.0324411671224119,-1.4517818322132,0.803497055474861,"reg","re",NA,NA,"not sig","+ /","Random-Effects",12
"ADL","Random-Effects","imprt_t_jur.re","Inc.","imprt_t_jur",NA,NA,"beopct_all",NA,26.5267991523599,-760.670704572335,835.602631397766,NA,NA,NA,NA,"not sig",4,NA,NA,NA,NA,NA,1504,43,NA,FALSE,NA,NA,0.1209953153607,-3.46960789565098,3.81139101334843,"reg","re",NA,NA,"not sig","+ /","Random-Effects",12
"ADL","Region X Time","officers_pcap.regtrend","Off.","officers_pcap",NA,NA,"beopct_all",NA,4.421782319047,-1.12915219606481,9.82207133728395,NA,NA,NA,NA,"not sig",15,NA,NA,NA,NA,NA,1764,49,NA,FALSE,NA,NA,0.126026208528236,-0.0321822197145265,0.279941055714055,"reg","regtrend",NA,NA,"not sig","+ /","Reg. X Time",15
"ADL","Region X Time","imprt_t_jur.regtrend","Inc.","imprt_t_jur",NA,NA,"beopct_all",NA,18.7527609759797,-70.3666057104901,110.506071289837,NA,NA,NA,NA,"not sig",7,NA,NA,NA,NA,NA,1504,43,NA,FALSE,NA,NA,0.08553599758268,-0.320959554897725,0.504045620739596,"reg","regtrend",NA,NA,"not sig","+ /","Reg. X Time",15
"ADL","Spending","officers_pcap.spending","Off.","officers_pcap",NA,NA,"beopct_all",NA,-0.0166228445037031,-0.0455058405466841,0.00995903658823771,NA,NA,NA,NA,"not sig",11,NA,NA,NA,NA,NA,1764,49,NA,FALSE,NA,NA,-0.0627802528003991,-0.171863977478647,0.0376127463935973,"reg","spending",NA,NA,"not sig","- /","Spend.",19
"ADL","Spending","imprt_t_jur.spending","Inc.","imprt_t_jur",NA,NA,"beopct_all",NA,-0.0410386690780434,-0.0865698348736051,0.00258217997904528,NA,NA,NA,NA,"at alpha=0.10",3,NA,NA,NA,NA,NA,1504,43,NA,FALSE,NA,NA,-0.0794324155041391,-0.16756028517221,0.00499793968980665,"reg","spending",NA,NA,"at alpha=0.10","- /at alpha=0.10","Spend.",19
"ADL","Unit Roots","officers_pcap.urtransform","Off.","officers_pcap",NA,NA,"beopct_all",NA,4.52397220191548,-0.545217674278613,9.35958975812976,NA,NA,NA,NA,"at alpha=0.10",16,NA,NA,NA,NA,NA,1764,49,NA,FALSE,NA,NA,0.128938745274422,-0.0155393710848085,0.266759764612525,"reg","urtransform",NA,NA,"at alpha=0.10","+ /at alpha=0.10","Unit Roots",16
"ADL","Unit Roots","imprt_t_jur.urtransform","Inc.","imprt_t_jur",NA,NA,"beopct_all",NA,28.8202044798655,-43.5606807584645,86.1385062732141,NA,NA,NA,NA,"not sig",8,NA,NA,NA,NA,NA,1504,43,NA,FALSE,NA,NA,0.131456106323742,-0.198691077480726,0.392899108232588,"reg","urtransform",NA,NA,"not sig","+ /","Unit Roots",16
