"state_alpha2","year","race","mu","dimension"
"HI","1965","1",0.296411010633221,"all"
"ID","1965","1",0.301363972465265,"all"
"IL","1965","1",0.291333723662988,"all"
"IN","1965","1",0.29298533592407,"all"
"IA","1965","1",0.277353879142078,"all"
"KS","1965","1",0.27640857231374,"all"
"KY","1965","1",0.309569964344234,"all"
"LA","1965","1",0.318747759611772,"all"
"ME","1965","1",0.281340912048986,"all"
"MD","1965","1",0.313890124596009,"all"
"MA","1965","1",0.280249509494192,"all"
"MI","1965","1",0.292296736213811,"all"
"MN","1965","1",0.275638155730301,"all"
"MS","1965","1",0.312343898498209,"all"
"MO","1965","1",0.274476901863595,"all"
"MT","1965","1",0.300186329071091,"all"
"NE","1965","1",0.277501063509908,"all"
"NV","1965","1",0.303625930791428,"all"
"NH","1965","1",0.280772545383672,"all"
"NJ","1965","1",0.297448424852605,"all"
"NM","1965","1",0.298018771277104,"all"
"NY","1965","1",0.29634929746812,"all"
"NC","1965","1",0.313648155479891,"all"
"ND","1965","1",0.275343741647728,"all"
"OH","1965","1",0.292629220844064,"all"
"OK","1965","1",0.319270889510236,"all"
"OR","1965","1",0.298658455324653,"all"
"PA","1965","1",0.299174561891112,"all"
"RI","1965","1",0.279129551502411,"all"
"SC","1965","1",0.313226142263101,"all"
"SD","1965","1",0.27594911324844,"all"
"TN","1965","1",0.310761623149707,"all"
"TX","1965","1",0.317676659656144,"all"
"UT","1965","1",0.298927772364547,"all"
"VT","1965","1",0.280047223208028,"all"
"VA","1965","1",0.313303123010929,"all"
"WA","1965","1",0.298823269788089,"all"
"WV","1965","1",0.314719268278428,"all"
"WI","1965","1",0.292648369212132,"all"
"WY","1965","1",0.301104067532376,"all"
"all","1965","1",0.298245907380239,"all"
"AL","1966","1",0.320852797539792,"all"
"AK","1966","1",0.310356691192349,"all"
"AZ","1966","1",0.307110980006592,"all"
"AR","1966","1",0.328081100958754,"all"
"CA","1966","1",0.305920824243143,"all"
"CO","1966","1",0.307032975200615,"all"
"CT","1966","1",0.287809227313246,"all"
"DE","1966","1",0.323834428532325,"all"
"DC","1966","1",0.311799799372713,"all"
"FL","1966","1",0.324460875956153,"all"
"GA","1966","1",0.322282925031412,"all"
"HI","1966","1",0.305086954943513,"all"
"ID","1966","1",0.310141051144996,"all"
"IL","1966","1",0.299932327284855,"all"
"IN","1966","1",0.301695517657923,"all"
"IA","1966","1",0.285762540332617,"all"
"KS","1966","1",0.284762439346859,"all"
"KY","1966","1",0.318547335409138,"all"
"LA","1966","1",0.327780772425869,"all"
"ME","1966","1",0.289747878692783,"all"
"MD","1966","1",0.322752149521315,"all"
"MA","1966","1",0.288558054592375,"all"
"MI","1966","1",0.300903939681077,"all"
"MN","1966","1",0.283976977191094,"all"
"MS","1966","1",0.321320676582077,"all"
"MO","1966","1",0.282813389726648,"all"
"MT","1966","1",0.30892339202301,"all"
"NE","1966","1",0.285904476941285,"all"
"NV","1966","1",0.312564072721656,"all"
"NH","1966","1",0.289171400487022,"all"
"NJ","1966","1",0.306129487214655,"all"
"NM","1966","1",0.306736882752764,"all"
"NY","1966","1",0.304978168696379,"all"
"NC","1966","1",0.322507522890217,"all"
"ND","1966","1",0.283691407031043,"all"
"OH","1966","1",0.301325165129454,"all"
"OK","1966","1",0.32834913513713,"all"
"OR","1966","1",0.307251461388183,"all"
"PA","1966","1",0.308023540001661,"all"
"RI","1966","1",0.287648440673175,"all"
"SC","1966","1",0.322098672712269,"all"
"SD","1966","1",0.284237425302585,"all"
"TN","1966","1",0.319738415595383,"all"
"TX","1966","1",0.326544858472488,"all"
"UT","1966","1",0.307526424275893,"all"
"VT","1966","1",0.288438712724463,"all"
"VA","1966","1",0.322145146663322,"all"
"WA","1966","1",0.307523704828865,"all"
"WV","1966","1",0.323902983214198,"all"
"WI","1966","1",0.301293449641139,"all"
"WY","1966","1",0.309801151459511,"all"
"all","1966","1",0.306983248206189,"all"
"AL","1967","1",0.36077203211869,"all"
"AK","1967","1",0.349104485619098,"all"
