"race","income","year","count","rate","number","class"
"black","25000 to 34999",1996,95130,32.4,2936111.11111111,"middle"
"black","25000 to 34999",1997,35547,11.8,3012457.62711864,"middle"
"black","25000 to 34999",1998,52789,16.2,3258580.24691358,"middle"
"black","25000 to 34999",1999,59220,17.2,3443023.25581395,"middle"
"black","25000 to 34999",2000,57290,17.2,3330813.95348837,"middle"
"black","25000 to 34999",2001,17794,5,3558800,"middle"
"black","25000 to 34999",2002,18097,5.3,3414528.30188679,"middle"
"black","25000 to 34999",2003,54446,18,3024777.77777778,"middle"
"black","25000 to 34999",2004,47805,15.8,3025632.9113924,"middle"
"black","25000 to 34999",2005,68980,23.5,2935319.14893617,"middle"
"black","25000 to 34999",2006,38524,13.4,2874925.37313433,"middle"
"black","25000 to 34999",2007,177358,71.2,2490983.14606742,"middle"
"black","25000 to 34999",2008,42081,15.6,2697500,"middle"
"black","25000 to 34999",2009,70051,22.7,3085947.13656388,"middle"
"black","25000 to 34999",2010,29105,10.1,2881683.16831683,"middle"
"black","25000 to 34999",2011,34372,11.4,3015087.71929825,"middle"
"black","25000 to 34999",2012,31346,8.7,3602988.50574713,"middle"
"black","25000 to 34999",2013,14767,4,3691750,"middle"
"black","25000 to 34999",2014,64894,17.5,3708228.57142857,"middle"
"black","25000 to 34999",2015,28908,8,3613500,"middle"
"black","35000 to 49999",1993,63250,27.3,2316849.81684982,"middle"
"black","35000 to 49999",1994,70380,26.3,2676045.62737643,"middle"
"black","35000 to 49999",1995,40331,14.1,2860354.60992908,"middle"
"black","35000 to 49999",1996,76347,26.4,2891931.81818182,"middle"
"black","35000 to 49999",1997,85492,27.4,3120145.98540146,"middle"
"black","35000 to 49999",1998,67389,20.8,3239855.76923077,"middle"
"black","35000 to 49999",1999,90701,26.9,3371784.3866171,"middle"
"black","35000 to 49999",2000,30824,8.7,3542988.50574713,"middle"
"black","35000 to 49999",2001,27774,8.3,3346265.06024096,"middle"
"black","35000 to 49999",2002,59496,16.9,3520473.37278107,"middle"
"black","35000 to 49999",2003,23489,6.9,3404202.89855072,"middle"
"black","35000 to 49999",2004,60971,19.3,3159119.17098446,"middle"
"black","35000 to 49999",2005,55824,17,3283764.70588235,"middle"
"black","35000 to 49999",2006,30271,8.8,3439886.36363636,"middle"
"black","35000 to 49999",2007,21281,6.3,3377936.50793651,"middle"
"black","35000 to 49999",2008,9769,2.9,3368620.68965517,"middle"
"black","35000 to 49999",2009,39057,11.5,3396260.86956522,"middle"
"black","35000 to 49999",2010,45961,12.7,3618976.37795276,"middle"
"black","35000 to 49999",2011,12833,3.8,3377105.26315789,"middle"
"black","35000 to 49999",2012,41012,10.8,3797407.40740741,"middle"
"black","35000 to 49999",2013,14831,4.2,3531190.47619048,"middle"
"black","35000 to 49999",2014,35184,9.4,3742978.72340426,"middle"
"black","35000 to 49999",2015,15150,3.8,3986842.10526316,"middle"
"black","50000 to 74999",1993,40362,25.6,1576640.625,"middle"
"black","50000 to 74999",1994,87970,51.6,1704844.96124031,"middle"
"black","50000 to 74999",1995,16782,8.9,1885617.97752809,"middle"
"black","50000 to 74999",1996,47823,25.5,1875411.76470588,"middle"
"black","50000 to 74999",1997,32446,14.3,2268951.04895105,"middle"
"black","50000 to 74999",1998,61301,26.4,2322007.57575758,"middle"
"black","50000 to 74999",1999,50081,20.7,2419371.98067633,"middle"
