"county","year","homrate","population"
"Union County, NJ",2016,4.1,555630
"Ventura County, CA",2016,3.6,849738
"Virginia Beach city, VA",2013,4.9,448479
"Volusia County, FL",2016,4.7,529364
"Wake County, NC",2016,3.2,1046791
"Washington County, MS",2002,40.3,59570
"Washoe County, NV",2015,5.8,446903
"Wayne County, MI",2016,18.6,1749366
"Webb County, TX",2006,10.9,229307
"Westchester County, NY",2016,2.2,974542
"Will County, IL",2016,3.8,689529
"Winnebago County, IL",2016,9.8,285873
"Worcester County, MA",2009,2.5,795251
"Wyandotte County, KS",2016,27.5,163831
"Yakima County, WA",2013,8.5,247044
"York County, PA",2013,4.6,438965
