"race","income","year","count","rate","number","class"
"other","less than 7500","y2013",16279,23.3,698669.527896996,"poor"
"other","less than 7500","y2014",1509,1.9,794210.52631579,"poor"
"other","less than 7500","y2015",4177,5.5,759454.545454545,"poor"
"white","15000 to 24999","y2010",128168,11.9,10770420.1680672,"middle"
"white","15000 to 24999","y2011",159556,14.8,10780810.8108108,"middle"
"white","15000 to 24999","y2012",156159,14.7,10623061.2244898,"middle"
"white","15000 to 24999","y2013",142994,14.2,10070000,"middle"
"white","15000 to 24999","y2014",112046,11.9,9415630.25210084,"middle"
"white","15000 to 24999","y2015",98981,11.1,8917207.20720721,"middle"
"white","25000 to 34999","y2010",78103,6.2,12597258.0645161,"middle"
"white","25000 to 34999","y2011",109532,8.9,12306966.2921348,"middle"
"white","25000 to 34999","y2012",83221,6.4,13003281.25,"middle"
"white","25000 to 34999","y2013",89598,7,12799714.2857143,"middle"
"white","25000 to 34999","y2014",83475,6.7,12458955.2238806,"middle"
"white","25000 to 34999","y2015",83417,7,11916714.2857143,"middle"
"white","35000 to 49999","y2010",116142,6.1,19039672.1311475,"middle"
"white","35000 to 49999","y2011",125589,6.6,19028636.3636364,"middle"
"white","35000 to 49999","y2012",107010,5.6,19108928.5714286,"middle"
"white","35000 to 49999","y2013",146926,7.7,19081298.7012987,"middle"
"white","35000 to 49999","y2014",157317,9,17479666.6666667,"middle"
"white","35000 to 49999","y2015",105483,6.2,17013387.0967742,"middle"
"white","50000 to 74999","y2010",146352,5.9,24805423.7288136,"middle"
"white","50000 to 74999","y2011",101989,4.2,24283095.2380952,"middle"
"white","50000 to 74999","y2012",106568,4.4,24220000,"middle"
"white","50000 to 74999","y2013",111075,4.6,24146739.1304348,"middle"
"white","50000 to 74999","y2014",118063,5.1,23149607.8431373,"middle"
"white","50000 to 74999","y2015",160212,6.8,23560588.2352941,"middle"
"white","7500 to 14999","y2010",75990,12.1,6280165.2892562,"poor"
"white","7500 to 14999","y2011",194372,31.9,6093166.14420063,"poor"
"white","7500 to 14999","y2012",93181,14,6655785.71428571,"poor"
"white","7500 to 14999","y2013",161772,25.8,6270232.55813953,"poor"
"white","7500 to 14999","y2014",98569,17,5798176.47058824,"poor"
"white","7500 to 14999","y2015",145369,26.8,5424216.41791045,"poor"
"white","75000 or more","y2010",199466,4.4,45333181.8181818,"rich"
"white","75000 or more","y2011",158937,3.4,46746176.4705882,"rich"
"white","75000 or more","y2012",231919,4.8,48316458.3333333,"rich"
"white","75000 or more","y2013",135395,2.8,48355357.1428571,"rich"
"white","75000 or more","y2014",204482,4.1,49873658.5365854,"rich"
"white","75000 or more","y2015",169329,3.3,51311818.1818182,"rich"
"white","less than 7500","y2010",41158,11.4,3610350.87719298,"poor"
"white","less than 7500","y2011",57897,16.3,3551963.19018405,"poor"
"white","less than 7500","y2012",186295,51.7,3603384.91295938,"poor"
"white","less than 7500","y2013",130943,38.1,3436824.14698163,"poor"
"white","less than 7500","y2014",82377,24.5,3362326.53061224,"poor"
"white","less than 7500","y2015",64627,21.1,3062890.99526066,"poor"
