"countryname","prisonpop","prisonrate","pretrial","pctfemale","pctforeign","occupancy"
"Isle of Man  (United Kingdom)",96,108,16.7,4.2,9.4,69.6
"Iceland",131,38,17.6,6.1,23.7,86.2
"Hungary",17963,184,21.2,7.5,4.8,129
"Faeroe Islands  (Denmark)",6,12,26.8,0,NA,86.4
"Uruguay",11078,321,69.7,5.3,2.6,112.1
"St. Lucia",527,280,53.5,2.5,3,105.4
"Switzerland",6863,81,39.4,5.6,71.5,91.9
"Northern Mariana Islands  (USA)",270,482,NA,5.8,NA,64.3
"Venezuela",57096,178,63,5.3,2.3,153.9
"Comoros",191,23,29,1,7.7,318.3
"Zambia",25000,146,28,3,2.1,303
"Kiribati",129,113,5.4,0.8,0,112.8
"Zimbabwe",19521,120,17.1,2.2,1.9,110.9
"Nepal",18881,65,58.9,7.3,5.5,178
"Mongolia",3099,102,23,4.4,0.4,124.4
"Bosnia and Herzegovina: Republika Srpska",863,66,11.2,2.2,2,57.8
"Tajikistan",9317,121,15,1.6,4.9,61.5
"Maldives",1852,499,NA,4.3,1.1,127.7
"Liechtenstein",10,27,37.5,12.5,87.5,50
"Grenada",465,435,15.2,1.5,3.1,234.8
"Democratic People's Republic of (North) Korea",NA,NA,NA,NA,NA,NA
"Myanmar (formerly Burma)",79668,145,10.8,12.3,0.7,144.3
"Vanuatu",192,71,22.4,1,0.4,106.7
"Papua New Guinea",4945,63,38.3,5,0.4,118.7
"Croatia",3190,78,24.5,4.1,5.7,79.3
"Philippines",188278,179,75.1,8.9,0.3,463.6
"St. Vincent and the Grenadines",469,426,24.3,5.3,3.8,79.8
"Anguilla (United Kingdom)",55,367,45.5,0,29.1,91.7
"Algeria",60000,146,8.6,1.5,3.8,89.3
"Burkina Faso",7670,41,42,1.7,4.1,186.2
"Finland",2884,52,20.2,7,17.8,105.8
"Turkmenistan",30452,552,14,6.5,0.7,85
"Swaziland",3610,282,18.1,2.9,6,127.2
"Rwanda",61000,464,6.8,6.5,0.3,95.6
"Republic of (South) Korea",55198,109,34.5,6.8,3.8,115.4
"Israel",19325,236,25.2,1,38.9,80.1
"Suriname",1000,183,50,2.8,19.3,75.2
"Tuvalu",11,110,0,0,0,NA
"Tonga",176,166,7.4,4.5,0,81.5
"Solomon Islands",435,73,50.6,1.4,1.6,60.6
"Nauru",14,140,25,7.1,6.7,14
"Micronesia, Federated States of",132,127,16.7,0,NA,88
"Yemen",14000,53,70.1,1.6,3.2,NA
"Qatar",1150,53,44,14.7,73.3,NA
"Virgin Islands (USA)",577,542,36.4,2.7,15.7,162.5
"Aruba  (Netherlands)",170,165,16.6,3.5,48.1,68.4
"Uzbekistan",43900,150,10,NA,NA,80
"India",419623,33,67.2,4.3,1.5,114.4
"Bhutan",1119,145,NA,4.3,6.8,NA
"South Sudan",6504,52,28.9,10.9,NA,NA
"Somalia",NA,NA,NA,NA,NA,NA
"Mali",5209,33,52.8,2.8,NA,223.3
"Libya",6187,99,90,1.2,12.8,141.6
"Lesotho",2073,92,19.5,3.6,0.9,70.6
"Guinea Bissau",196,10,67.9,2.6,7.1,102.2
"Gambia",1121,58,22.2,2.5,66.7,172.5
"St. Kitts and Nevis",220,393,30.5,3.6,2.1,144
"Puerto Rico  (USA)",10475,313,13,3.6,NA,73.6
"Gibraltar  (United Kingdom)",56,165,26.8,7.1,33.9,57.1
"Oman",1300,36,5.6,4.5,30.3,NA
"Tunisia",20755,180,52,2.8,NA,114
"Sao Tome e Principe",251,117,33.5,4.4,0.8,77.3
"Madagascar",20954,82,50.8,4.5,0.1,202.3
"Liberia",2211,47,63,2.3,2,165.7
"Belarus",34600,364,18.2,7.5,3.1,83.4
"Kosovo/Kosova",1849,106,18.1,2.5,5.7,87
"United Arab Emirates",9826,104,38.2,11.7,87.8,158.9
"Jamaica",3866,138,23.1,4.7,1.1,88.8
"Djibouti",600,66,20,5,NA,171.4
"Netherlands",10102,59,30,5.4,19.1,68.1
"Laos",8201,119,1,18.3,NA,NA
"Bosnia and Herzegovina: Federation",1722,73,12.5,2.9,2.6,102.1
"Syria",10599,60,50.5,7.4,7.3,65.6
"Cuba",57337,510,NA,NA,NA,NA
